method,sparsity,target_bits,run_id,wikitext2_ppl,ptb_ppl,c4_ppl,time_sec,peak_mem_gb,avg_bits
enhanced_budget,0.0,3.0,1,25.953,38.985,28.037,,,
enhanced_budget,0.0,3.0,2,25.953,38.985,28.037,,,
enhanced_budget,0.0,3.0,3,25.953,38.985,28.037,,,
enhanced_budget,0.0,4.0,1,25.953,38.985,28.037,,,
enhanced_budget,0.0,4.0,2,25.953,38.985,28.037,,,
enhanced_budget,0.0,4.0,3,25.953,38.985,28.037,,,
enhanced_budget,0.0,8.0,1,25.953,38.985,28.037,,,
enhanced_budget,0.0,8.0,2,25.953,38.985,28.037,,,
enhanced_budget,0.0,8.0,3,25.953,38.985,28.037,,,
enhanced_budget,0.3,3.0,1,27.562,42.929,29.333,,,
enhanced_budget,0.3,3.0,2,27.562,42.929,29.333,,,
enhanced_budget,0.3,3.0,3,27.562,42.929,29.333,,,
enhanced_budget,0.3,4.0,1,27.559,42.999,29.332,,,
enhanced_budget,0.3,4.0,2,27.559,42.999,29.332,,,
enhanced_budget,0.3,4.0,3,27.559,42.999,29.332,,,
enhanced_budget,0.3,8.0,1,27.566,42.995,29.333,,,
enhanced_budget,0.3,8.0,2,27.566,42.995,29.333,,,
enhanced_budget,0.3,8.0,3,27.566,42.995,29.333,,,
enhanced_budget,0.5,3.0,1,36.065,56.151,35.566,,,
enhanced_budget,0.5,3.0,2,36.065,56.151,35.566,,,
enhanced_budget,0.5,3.0,3,36.065,56.151,35.566,,,
enhanced_budget,0.5,4.0,1,36.175,55.930,35.615,,,
enhanced_budget,0.5,4.0,2,36.175,55.930,35.615,,,
enhanced_budget,0.5,4.0,3,36.175,55.930,35.615,,,
enhanced_budget,0.5,8.0,1,36.199,56.182,35.566,,,
enhanced_budget,0.5,8.0,2,36.199,56.182,35.566,,,
enhanced_budget,0.5,8.0,3,36.199,56.182,35.566,,,
enhanced_budget,0.7,3.0,1,228.717,268.295,171.761,,,
enhanced_budget,0.7,3.0,2,228.717,268.295,171.761,,,
enhanced_budget,0.7,3.0,3,228.717,268.295,171.761,,,
enhanced_budget,0.7,4.0,1,218.549,259.005,162.843,,,
enhanced_budget,0.7,4.0,2,218.549,259.005,162.843,,,
enhanced_budget,0.7,4.0,3,218.549,259.005,162.843,,,
enhanced_budget,0.7,8.0,1,223.523,260.538,171.581,,,
enhanced_budget,0.7,8.0,2,223.523,260.538,171.581,,,
enhanced_budget,0.7,8.0,3,223.523,260.538,171.581,,,
enhanced_quantile,0.0,3.0,1,25.953,38.985,28.037,,,
enhanced_quantile,0.0,3.0,2,25.953,38.985,28.037,,,
enhanced_quantile,0.0,3.0,3,25.953,38.985,28.037,,,
enhanced_quantile,0.0,4.0,1,25.953,38.985,28.037,,,
enhanced_quantile,0.0,4.0,2,25.953,38.985,28.037,,,
enhanced_quantile,0.0,4.0,3,25.953,38.985,28.037,,,
enhanced_quantile,0.0,8.0,1,25.953,38.985,28.037,,,
enhanced_quantile,0.0,8.0,2,25.953,38.985,28.037,,,
enhanced_quantile,0.0,8.0,3,25.953,38.985,28.037,,,
enhanced_quantile,0.3,3.0,1,27.568,42.904,29.331,,,
enhanced_quantile,0.3,3.0,2,27.568,42.904,29.331,,,
enhanced_quantile,0.3,3.0,3,27.568,42.904,29.331,,,
enhanced_quantile,0.3,4.0,1,27.568,42.904,29.331,,,
enhanced_quantile,0.3,4.0,2,27.568,42.904,29.331,,,
enhanced_quantile,0.3,4.0,3,27.568,42.904,29.331,,,
enhanced_quantile,0.3,8.0,1,27.568,42.904,29.331,,,
enhanced_quantile,0.3,8.0,2,27.568,42.904,29.331,,,
enhanced_quantile,0.3,8.0,3,27.568,42.904,29.331,,,
enhanced_quantile,0.5,3.0,1,36.186,56.294,35.601,,,
enhanced_quantile,0.5,3.0,2,36.186,56.294,35.601,,,
enhanced_quantile,0.5,3.0,3,36.186,56.294,35.601,,,
enhanced_quantile,0.5,4.0,1,36.186,56.294,35.601,,,
