method,sparsity,target_bits,wikitext2_mean,wikitext2_std,ptb_mean,ptb_std,c4_mean,c4_std
enhanced_budget,0.0,3.0,25.953,0.0,38.985,0.0,28.036999999999995,4.351167857633658e-15
enhanced_budget,0.0,4.0,25.953,0.0,38.985,0.0,28.036999999999995,4.351167857633658e-15
enhanced_budget,0.0,8.0,25.953,0.0,38.985,0.0,28.036999999999995,4.351167857633658e-15
enhanced_budget,0.3,3.0,27.562,0.0,42.929,0.0,29.333,0.0
enhanced_budget,0.3,4.0,27.559,0.0,42.999,0.0,29.332000000000004,4.351167857633658e-15
enhanced_budget,0.3,8.0,27.566,0.0,42.995,0.0,29.333,0.0
enhanced_budget,0.5,3.0,36.065,0.0,56.151,0.0,35.566,0.0
enhanced_budget,0.5,4.0,36.175,0.0,55.93,0.0,35.615,0.0
enhanced_budget,0.5,8.0,36.199,0.0,56.181999999999995,8.702335715267317e-15,35.566,0.0
enhanced_budget,0.7,3.0,228.717,0.0,268.295,0.0,171.761,0.0
enhanced_budget,0.7,4.0,218.549,0.0,259.005,0.0,162.843,0.0
enhanced_budget,0.7,8.0,223.523,0.0,260.538,0.0,171.581,0.0
enhanced_quantile,0.0,3.0,25.953,0.0,38.985,0.0,28.036999999999995,4.351167857633658e-15
enhanced_quantile,0.0,4.0,25.953,0.0,38.985,0.0,28.036999999999995,4.351167857633658e-15
enhanced_quantile,0.0,8.0,25.953,0.0,38.985,0.0,28.036999999999995,4.351167857633658e-15
enhanced_quantile,0.3,3.0,27.568,0.0,42.904,0.0,29.331,0.0
enhanced_quantile,0.3,4.0,27.568,0.0,42.904,0.0,29.331,0.0
enhanced_quantile,0.3,8.0,27.568,0.0,42.904,0.0,29.331,0.0
enhanced_quantile,0.5,3.0,36.186,0.0,56.294000000000004,8.702335715267317e-15,35.601,0.0
enhanced_quantile,0.5,4.0,36.186,0.0,56.294000000000004,8.702335715267317e-15,35.601,0.0
enhanced_quantile,0.5,8.0,36.186,0.0,56.294000000000004,8.702335715267317e-15,35.601,0.0
enhanced_quantile,0.7,3.0,219.456,0.0,266.894,0.0,167.404,0.0
enhanced_quantile,0.7,4.0,219.456,0.0,266.894,0.0,167.404,0.0
enhanced_quantile,0.7,8.0,219.456,0.0,266.894,0.0,167.404,0.0
original,0.0,3.0,25.953245,0.0,38.985497,0.0,28.036724000000003,4.351167857633658e-15
original,0.0,4.0,25.953245,0.0,38.985497,0.0,28.036724000000003,4.351167857633658e-15
original,0.0,8.0,25.953245,0.0,38.985497,0.0,28.036724000000003,4.351167857633658e-15
original,0.3,3.0,47.59359,0.0,72.855698,0.0,43.767879,0.0
original,0.3,4.0,30.041853,0.0,47.481045,0.0,31.410421,0.0
original,0.3,8.0,27.631111,0.0,42.938362000000005,8.702335715267317e-15,29.362512999999996,4.351167857633658e-15
original,0.5,3.0,62.876881,0.0,95.251015,0.0,53.25653500000001,8.702335715267317e-15
original,0.5,4.0,39.108929,0.0,60.30918499999999,8.702335715267317e-15,37.436649,0.0
original,0.5,8.0,36.308235,0.0,55.684242000000005,8.702335715267317e-15,35.588734,0.0
original,0.7,3.0,382.549286,0.0,611.993591,0.0,235.540649,0.0
original,0.7,4.0,281.376007,0.0,364.770599,0.0,202.24479699999998,3.4809342861069267e-14
original,0.7,8.0,263.313202,0.0,328.667419,0.0,190.21620199999998,3.4809342861069267e-14
